ID,Ojibwe Word,Word Class,English Translation
800,aawajinigaadan,vti,haul s.t. on one's shoulder; Isg indaawajinigaadaan; prt ayaawajinigaadang aawajinigaazh /aawajinigaaN-/ vta haul s.o. on one's shoulder; Isg indaawajinigaanaa; prt ayaawajinigaanaad
804,aawazhiwewidaabaan,na,van; pi aawazhiwewidaabaanag; loc aawazhiwewidaabaaning; dim aawazhiwewidaabaanens aawekaazh /aawekaaN-/ vta recognize s.o.; Isg indaawekaanaa; pn ayaawekaanaad
805,aawenan,vti,"recognize s.t. by sight, identify s.t. by sight; Isg indaawenaan; pn ayaawenang"
808,aawenim,vta,"recognize s.o., identify s.o.; Isg indaawenimaa; pn ayaawenimaad"
809,aawetan,vti,"recognize s.t. by sound, identify s.t. by sound; Isg indaawetaan; prt ayaawetang"
810,aawetaw,vta,"recognize s.o. by sound, identify s.o. by sound; Isg indaawetawaa; prt ayaawetawaad"
812,aayaapii,pc,every once in a while
815,aazhawa'o,vai,go across by boat; Isg indaazhawa'; prt ayaazhawa'od; also aazhawa'am
816,aazhawa'oodoon,vti2,"take s.t. across by boat, ferry s.t. across; Isg indaazhawa'oodoon; pn ayaazhawa'oodood aazhawa'oozh /aazhawa'ooN-/ vta take s.o. across by boat, ferry s.o. across; Isg indaazhawa'oonaa; prt ayaazhawa'oonaad"
817,aazhawayi'ii,pc,on the other side of it
818,aazhawaadagaa,vai,swim across; Isg indaazhawaadagaa; pn ayaazhawaadagaad
821,aazhawaakosidoon,vti2,lay s.t. across (as something stick- or wood-like); Isg indaazhawaakosidoon; pn ayaazhawaakosidood
823,aazhawaandawaagan,ni,foot bridge; pi aazhawaandawaaganan; loc aazhawaandawaaganing; dim aazhawaandawaagaans
